"address","attributes.ByAppointmentOnly","business_id","categories","city","hours","is_open","latitude","longitude","name","postal_code","review_count","stars","state","attributes.BusinessAcceptsCreditCards","hours.Friday","hours.Monday","hours.Saturday","hours.Thursday","hours.Tuesday","hours.Wednesday","attributes.BikeParking","attributes.BusinessParking","attributes.Caters","attributes.CoatCheck","attributes.DogsAllowed","attributes.HappyHour","attributes.HasTV","attributes.OutdoorSeating","attributes.RestaurantsDelivery","attributes.RestaurantsPriceRange2","attributes.RestaurantsReservations","attributes.RestaurantsTakeOut","attributes.WheelchairAccessible","attributes.WiFi","hours.Sunday","attributes.Alcohol","attributes.GoodForKids","attributes.Ambience","attributes.DriveThru","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsTableService","attributes","attributes.NoiseLevel","attributes.GoodForMeal","attributes.BusinessAcceptsBitcoin","attributes.GoodForDancing","attributes.Music","attributes.Smoking","attributes.AcceptsInsurance","attributes.BestNights","attributes.BYOB","attributes.Corkage","attributes.BYOBCorkage","attributes.HairSpecializesIn","attributes.Open24Hours","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions"
"265 S Broad St","True","TYURMcdjX8f0QcIkbEK2IQ","Performing Arts, Cinema, Arts & Entertainment","Philadelphia",NA,1,39.9472561,-75.1644518,"The Wilma Theater","19107",50,4.5,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978 - 99 Street NW",NA,"AWcvXiZyxdDlj_ImZh896w","Cinema, Shopping, Shopping Centers, Arts & Entertainment","Edmonton",NA,1,53.446977,-113.4813523,"South Edmonton Common","T6N 1N5",19,2.5,"AB",NA,NA,NA,NA,NA,NA,NA,"True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1796 West Newport Pike",NA,"xtt8rutZW49CooyQUb39Jw","Cinema, Arts & Entertainment, Event Planning & Services, Venues & Event Spaces","Wilmington",NA,1,39.7144181,-75.6310832,"Cinemark Movies 10","19804",23,3,"DE","True",NA,NA,NA,NA,NA,NA,NA,NA,"False","False",NA,"False",NA,"False","False",NA,NA,"False","True",NA,NA,"u'none'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1401 W Esplanade Ave",NA,"YPghBSkPwMuAJPf3OK9rQA","Cinema, Arts & Entertainment","Kenner",NA,0,30.0159834,-90.2492498,"Hollywood Cinemas 9","70065",9,1.5,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161 Rains Ave",NA,"9_OamekMThfSP0KgK0dnlQ","Arts & Entertainment, Local Flavor, Festivals, Performing Arts, Cinema","Nashville",NA,1,36.1353835,-86.7657546,"Nashville Shakespeare Festival","37203",9,4,"TN",NA,"18:0-22:0",NA,"18:0-22:0","18:0-22:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18:0-22:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11150 Southeastern Ave",NA,"C_jtUNKHYNH-eKLN6oKurw","Performing Arts, Cinema, Arts & Entertainment","Indianapolis",NA,1,39.6803814,-85.9670824,"Buck Creek Players","46259",5,4.5,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945 Magazine St",NA,"g8Zln83Z_S_3Fz8WA-YVrw","Nightlife, Cinema, Museums, Music Venues, Arts & Entertainment","New Orleans",NA,1,29.9433191121,-90.0698655099,"Stage Door Canteen","70130",8,4,"LA","True",NA,NA,NA,NA,NA,NA,"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"False",NA,"False","True","False",NA,"2",NA,NA,NA,NA,NA,"u'full_bar'","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",NA,NA,"True",NA,NA,"u'average'",NA,NA,"True","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}","u'outdoor'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4325 S Meridian St",NA,"i2H9kFPMAM7kT6t_8uRCMQ","Arts & Entertainment, Cinema","Indianapolis",NA,1,39.7017781,-86.1525575,"AMC Indianapolis 17","46217",72,3.5,"IN",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108 E Butler Ave",NA,"avlwCvHzrhU5UOvz1Y3_gQ","Event Planning & Services, Cinema, Venues & Event Spaces, Arts & Entertainment","Ambler",NA,1,40.1544102,-75.220877,"Ambler Theater","19002",74,5,"PA",NA,"16:0-21:30",NA,"12:0-21:30","15:0-20:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12:30-21:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400 S State Rd",NA,"JRnBeNG6jgGr-YGAulSL4g","Performing Arts, Cinema, Arts & Entertainment","Springfield",NA,0,39.9383538,-75.3583034,"AMC Marple 10","19064",25,2,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4012 Walnut St",NA,"6W6qogKV7x6hdloEo9WC8w","Cinema, Arts & Entertainment, Venues & Event Spaces, Event Planning & Services","Philadelphia",NA,1,39.9538571,-75.2032469,"Cinemark University City Penn 6","19104",244,2.5,"PA","True",NA,NA,NA,NA,NA,NA,NA,NA,"False","False","False","False",NA,"False","False",NA,NA,"False","True",NA,NA,"u'full_bar'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214 Walnut St",NA,"OeE7CgEfECz0onTTF07xvw","Cinema, Arts & Entertainment","Philadelphia",NA,1,39.9468170875,-75.1455080509,"Ritz Five","19176",131,4,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844 Bethlehem Pike",NA,"fq44yNPMuN0dF5ZHdDuvYw","Arts & Entertainment, Dinner Theater, Cinema, Restaurants","Flourtown",NA,1,40.1113704,-75.2105291,"Movie Tavern Flourtown","19031",400,2.5,"PA","True","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","False","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","False","False","False","False","True","False","False","2","True","False",NA,"'no'","12:0-22:0","u'full_bar'","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",NA,"'casual'","True","True",NA,"'average'","{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400 Ranstead St",NA,"7eiGKDBo7qymeasy-uq1qQ","Arts & Entertainment, Cinema","Philadelphia",NA,0,39.9492886,-75.1477118,"Ritz At the Bourse","19106",103,4,"PA",NA,"13:0-22:0","13:0-22:0","13:0-22:0","13:0-22:0","13:0-22:0","13:0-22:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13:0-22:0",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14416 N Dale Mabry Hwy",NA,"sMSHvAqNe0nA-rC279IMSQ","American (New), Arts & Entertainment, Music Venues, Nightlife, Restaurants, Cinema, Event Planning & Services, Venues & Event Spaces","Tampa",NA,0,28.079629,-82.507161,"Tampa Pitcher Show","33618",36,3.5,"FL","True","17:0-2:0","17:0-17:0","17:0-2:0","17:0-22:30","17:0-23:30","17:0-22:30","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","False",NA,NA,NA,"True","False","False","1","False","False",NA,NA,NA,"u'full_bar'","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"u'casual'","True",NA,NA,"u'average'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824 W Lancaster Ave",NA,"djUp3Pn-L8sErrflNUPyjA","Arts & Entertainment, Cinema","Bryn Mawr",NA,1,40.0216017,-75.3189616,"Bryn Mawr Film Institute","19010",71,4,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5400 Charlotte Ave","False","8m-dff6262QfRE6IwoK7hA","Videos & Video Game Rental, Music & DVDs, Hobby Shops, Shopping, Bookstores, Comic Books, Books, Mags, Music & Video, Arts & Entertainment, Video Game Stores, Cinema, Vinyl Records","Nashville",NA,1,36.1524465,-86.8534617,"The Great Escape","37209",78,3.5,"TN","True","7:0-21:0","0:0-0:0","12:0-19:0","12:0-19:0",NA,"10:0-18:0","True","{'valet': False, 'garage': False, 'street': False, 'lot': True, 'validated': False}",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"12:0-19:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210 Plaza Frontenac",NA,"hqF-uosThMtwGn4J_LfNPA","Arts & Entertainment, Cinema","Frontenac",NA,1,38.630655,-90.407181,"Plaza Frontenac Cinema","63131",60,4,"MO",NA,"10:30-22:0","10:30-19:30","10:30-22:0","10:30-19:30","10:30-19:30","10:30-19:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:30-19:30",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1600 N Broad St",NA,"-CoVlGcw8nOmkp_ASc_DIQ","Cinema, Arts & Entertainment","Philadelphia",NA,1,39.9774330477,-75.1586017528,"AMC Broadstreet 7","19121",51,2.5,"PA",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8700 W Judge Perez Blvd",NA,"Xflb9oucfZ5M-309jda64g","Cinema, Arts & Entertainment","Chalmette",NA,0,29.9500201,-89.9744921,"Chalmette Movies","70043",28,4,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110 Bartlett Ave","False","LJSKXR-syjNUD3GCNYyqtg","Arts & Entertainment, Cinema","Exton",NA,1,40.021179,-75.628009,"Movie Tavern Exton","19341",149,3,"PA","True","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0",NA,NA,NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12:0-22:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100 S Houghton Rd",NA,"gyI9J2RSM9b0vV2r4ZVIxQ","Cinema, Arts & Entertainment","Tucson",NA,1,32.2197441,-110.7742682,"Galaxy Theatres Tucson","85748",92,4,"AZ",NA,"10:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:0-0:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1200 Christiana Mall","False","8ccGTg3TC-IB1VKnU2zSqg","Cinema, Arts & Entertainment, Event Planning & Services, Venues & Event Spaces","Newark",NA,1,39.681068,-75.650821,"Cinemark Christiana and XD","19702",46,4,"DE","True",NA,NA,NA,NA,NA,NA,NA,NA,"False","False","False","False",NA,"False","False",NA,NA,"False","True",NA,NA,"u'none'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10550 E Bay Rd","False","m5j9Ya2OUni3ogksOJj2MQ","Cinema, Arts & Entertainment","Gibsonton",NA,0,27.848669,-82.348465,"GQT Riverview 14 GDX","33534",165,4.5,"FL",NA,"10:30-2:30","10:30-0:30","10:30-2:30","10:30-0:30","10:30-0:30","10:30-0:30",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'free'","10:30-0:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650 W Schuylkill Rd",NA,"8yXPmfJcgRJaswH1VhGf4A","Arts & Entertainment, Cinema","Pottstown",NA,1,40.2327007,-75.6670833,"Flagship Cinemas Pottstown","19465",5,4,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9302 Anderson Rd",NA,"QG3BblZrMRGXmYSyiYCP7A","Arts & Entertainment, Cinema","Tampa",NA,0,28.0329716861,-82.5431668834,"AMC Veterans 24","33634",113,3.5,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1412 Chestnut St",NA,"f8bCVRQuvK28MxTuXMCh_g","Community Service/Non-Profit, Local Services, Festivals, Arts & Entertainment, Cinema","Philadelphia",NA,1,39.9508334,-75.164683,"Philadelphia Film Center","19102",10,3.5,"PA",NA,"10:0-18:0","10:0-18:0",NA,"10:0-18:0","10:0-18:0","10:0-18:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380 Cinema Boulevard","False","yUxfAKKiH0GF7R5sDwh5VQ","Arts & Entertainment, Cinema","Plainfield",NA,1,39.7110605636,-86.3605629021,"AMC Perry Crossing 18","46168",77,3.5,"IN",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2915 Gallatin Pike","False","fUMtsJg-siA9lkmTmWO3ag","Used, Vintage & Consignment, Fashion, Art Galleries, Shopping, Cinema, Arts & Entertainment","Nashville",NA,0,36.2034797668,-86.7387390137,"Logue's Black Raven Emporium","37216",6,5,"TN","True","11:0-18:0",NA,"12:0-18:0","11:0-18:0","11:0-18:0","11:0-18:0","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2030 Sansom St",NA,"Qu-HGo_QNVQHEvJOAOdiOA","Arts & Entertainment, Performing Arts, Cinema","Philadelphia",NA,0,39.9512956,-75.1746805,"InterAct Theatre Company","19103",7,4,"PA",NA,"10:0-18:0","10:0-18:0",NA,"10:0-18:0","10:0-18:0","10:0-18:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12332 University Mall Ct",NA,"_12864iQDcnAs317NlF0hQ","Restaurants, Bars, Nightlife, Cinema, American (Traditional), Arts & Entertainment","Tampa",NA,0,28.05694,-82.4345,"Studio Movie Grill","33612",265,2.5,"FL","True","9:0-1:30","11:30-1:0","9:0-1:30","11:30-1:0","11:30-1:0","11:30-1:0","True","{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}","False","False",NA,"True","True","False","True","2","True","True",NA,"'no'","9:0-1:30","u'full_bar'","True","{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",NA,"'casual'","True","True",NA,"u'quiet'","{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,"False","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","u'no'",NA,"{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",NA,NA,NA,NA,NA,NA,NA,NA
"2140 E Cinema Dr",NA,"h1vR18rmsmGrT-to-fsGyA","Cinema, Arts & Entertainment, Venues & Event Spaces, Event Planning & Services","Meridian",NA,1,43.5923967,-116.3689957,"Cinemark Majestic Cinemas","83642",45,4,"ID","True","11:0-22:30","11:0-22:30","11:0-22:30","11:0-22:30","11:0-22:30","11:0-22:30",NA,NA,"False","False",NA,"False",NA,"False","False",NA,NA,"False","True",NA,"11:0-22:30","u'none'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010 N Wc MacInnes Pl",NA,"t2ASUt5TzlPUiomdNsQLuA","Community Service/Non-Profit, Arts & Entertainment, Nightlife, Cinema, Performing Arts, Local Services, Music Venues","Tampa",NA,1,27.9515862984,-82.4638833878,"Straz Center for the Performing Arts","33602",189,4,"FL","True","11:0-18:0","12:0-18:0",NA,"11:0-18:0","11:0-18:0","11:0-18:0","True","{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': True}",NA,NA,NA,NA,"False","True",NA,"2",NA,NA,NA,NA,NA,"u'beer_and_wine'","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",NA,NA,"True",NA,NA,"u'average'",NA,"False","False","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",NA,NA,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",NA,NA,NA,NA,NA,NA,NA,NA
"2302 E Hillsborough Ave",NA,"GXL6HahQiKXG73PlSTxWDg","Drive-In Theater, Arts & Entertainment, Flea Markets, Cinema, Shopping","Tampa",NA,1,27.9976463683,-82.4332486,"Swap Shop","33610",8,3,"FL","False","10:0-17:0","10:0-17:0","10:0-17:0","10:0-17:0","10:0-17:0","10:0-17:0","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1600 E 8th Ave",NA,"oyJ8EetvyVPxhBV-01MBDg","Shopping Centers, Cinema, Nightlife, Shopping, Arts & Entertainment","Tampa",NA,1,27.961226,-82.441608,"Centro Ybor","33605",15,4,"FL",NA,"10:0-22:0","10:0-20:0","10:0-22:0","10:0-22:0","10:0-20:0","10:0-20:0","True","{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"11:0-19:0",NA,"True",NA,NA,NA,NA,NA,NA,"u'average'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1714 Delancey St",NA,"BUPdkTi2UMH2D5dkymVnYw","Arts & Entertainment, Performing Arts, Cinema","Philadelphia",NA,1,39.94679,-75.1703845,"1812 Productions","19148",7,4.5,"PA",NA,NA,"10:0-16:0",NA,"10:0-16:0","10:0-16:0","10:0-16:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650 W Washington St","False","8Cj_OmrSOXPVKGo7xXJPGQ","Cinema, Arts & Entertainment, Museums","Indianapolis",NA,1,39.768687289,-86.1698913131,"IMAX Theater Indiana State Museum","46204",86,4.5,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'no'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1525 - 99th Street NW","False","Ck9cp2sZjAauKoxBKKPz6A","Arts & Entertainment, Cinema","Edmonton",NA,1,53.4456178,-113.4814514,"Cineplex Odeon South Edmonton","T6N 1K5",65,3.5,"AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10500 Ulmerton Rd E, Ste 500",NA,"JEVrI6F04R_nuFAyzcjcFA","Arts & Entertainment, Cinema","Largo",NA,1,27.8905903018,-82.783798199,"Regal Largo Mall","33771",88,3,"FL",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 N Lansdowne Ave",NA,"8g1k6JVfde8R6pQAYZSADA","Cinema, Arts & Entertainment","Lansdowne",NA,0,39.9394721,-75.2724059,"Cinema 16 9","19050",5,5,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5140 E Bay Dr",NA,"YKv4lTRRPFJrfh0IfbaO8w","Arts & Entertainment, Cinema","Largo",NA,0,27.9164086,-82.7336098,"AMC Tri-City 8","33764",18,3,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212 N Kings Hwy Blvd",NA,"6huJ1Tk-QiLO6FVI-5cX4A","Event Planning & Services, Arts & Entertainment, Hotels & Travel, Cinema, Hotels, Real Estate, Home Services, Apartments, Venues & Event Spaces","St. Louis",NA,1,38.6445280228,-90.2647665599,"The Chase Park Plaza Royal Sonesta St. Louis","63108",256,3,"MO","True","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"True","'free'","0:0-0:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6151 Currents Drive NW","False","wImCKPqb1FvOIBPhXpUZTA","Arts & Entertainment, Cinema, Nightlife","Edmonton",NA,1,53.4365895876,-113.6039360704,"Cineplex Odeon Windermere Cinemas and VIP","T6W 0L9",107,3.5,"AB",NA,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"False",NA,"True","False",NA,"2",NA,NA,NA,"u'free'",NA,"u'full_bar'","True","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,"True",NA,NA,"u'loud'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12155 N Oracle Rd",NA,"2Azunurji8iFeCOdmH4ITA","Cinema, Event Planning & Services, Venues & Event Spaces, Arts & Entertainment","Oro Valley",NA,1,32.423736,-110.9364658,"Century Theatres","85737",42,4,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636 N Broad St","False","PFA4CAwNPDR018fmWdQmnA","Cinema, Arts & Entertainment","New Orleans",NA,1,29.9697364,-90.0831818,"The Broad Theater","70119",100,4.5,"LA",NA,"11:0-0:0","14:0-0:0","11:0-0:0","11:0-0:0","14:0-0:0","14:0-0:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-0:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
